HOLEID,X,Y,Z,th1,th2,th3,F80,P80,M,A,cu_ppm,si_ppm,fe_ppm,s_ppm,A_x_M,th_avg,P80_over_F80
13,355.02079699991737,-472.8246599975973,188.495386576,0.0382762422873109,0.1840251487336445,0.377532794836571,2437.960030960282,81.98888906207678,0.7055329405536277,106.0,2905.06826009632,203074.856046065,251823.416506717,1530.0,74.78649169868453,0.19994472861917548,0.03363012027304745
14,514.9756679999409,-338.7885399963707,193.341533458,0.0493506124639936,0.2138240798819938,0.4691232473237302,2605.077150610148,78.0933351014237,0.885546791212762,106.0,17089.3658536585,121485.714285714,422319.77294228895,7850.0,93.86795986855277,0.2440993132232392,0.029977359819509792
14,509.19163399992976,-353.8564599975944,148.997438683,0.0452431764724076,0.185145761346631,0.3650706660971788,2529.902710701513,78.7520429627069,0.8794844519249351,106.0,10034.535229904,185067.328699106,291370.40714995,3479.9999999999995,93.22535190404312,0.19848653463873914,0.031128486731756517
15,-825.52641400008,622.3004700019956,217.88873124,0.0538594486810619,0.1850120277091382,0.4091188129509515,2442.0496781687634,82.84599184008755,0.9691463430509506,106.0,4078.7325972155495,220191.593352883,199976.539589442,1560.0,102.72951236340076,0.21599676311371718,0.03392477744441785
18,-525.0152530000778,297.5996900033206,182.240634718,0.0733329811601823,0.2749461340777134,0.4945129942966428,2013.0298697911933,78.7321508674997,1.1152145659487076,106.0,6423.806409417921,185365.079365079,283625.0,1895.0,118.21274399056301,0.28093070317817953,0.0391112680685987
19,943.5752709999216,-520.9017199967057,274.146118203,0.0375203734075475,0.1963258060258141,0.3677989694779643,2585.1723937552283,79.77628996047537,0.909871300901533,106.0,5491.74917491749,265539.637058261,90487.1060171919,2460.0,96.4463578955625,0.20054838297044197,0.030859176027557726
19,937.750599999912,-530.6027699969709,244.70689305,0.0435064907805443,0.1947689334818825,0.4290192802772765,2452.4337677505982,81.8999675844504,1.1171851643556852,106.0,6045.351473922901,296605.832549388,72139.2285983066,3920.0,118.42162742170262,0.2224315681799011,0.03339538407170524
26,772.2216139999218,-776.7444299962372,327.350117861,0.05616485445258,0.1778343077816489,0.3950392159680636,2297.876610535876,77.9183514134484,0.8680226579454485,106.0,8898.37133550488,311339.753482725,85087.63447799798,3070.0,92.01040174221754,0.20967945940076416,0.03390884917675256
28,-519.8026680001058,316.3458500020206,262.047966005,0.0393878699329126,0.1682189776815017,0.3284411424743892,2264.5036720430057,80.73840615306642,0.9642631537951892,106.0,7025.4652301665,212862.857142857,247468.571428571,2520.0,102.21189430229006,0.1786826633629345,0.035653908249230294
28,-517.0604080001358,325.9753800034523,236.113725782,0.0347619057182862,0.1674371394747228,0.3191115380461038,2455.2719635956432,80.47062774973321,0.947040600324278,106.0,4739.29961089494,205985.239852398,247429.88929889305,1739.9999999999998,100.38630363437346,0.17377019441303762,0.032774629019869286
