HOLEID,X,Y,Z,cu_ppm,au_ppm,ag_ppm,fe_ppm,s_ppm,total_sulphide_ppm,CuEq_ppm
6,560.5851749998983,-373.6603199969977,-143.64,3700.0,0.27,0.95,242400.0,1200.0,247300.0,3820.3
6,562.1551749999635,-370.7403199970722,-152.11,7600.0,0.54,2.13,346300.0,2400.0,356300.0,7859.92
7,-367.9648250000319,394.7796800024808,245.13,6300.0,0.06,2.09,165600.0,1600.0,173500.0,6484.56
7,-371.6648250001017,386.7396800033748,221.75,3200.0,0.09,0.94,164600.0,1000.0,168800.0,3292.46
7,-375.4848250000505,378.5796800032258,198.43,800.0,0.02,0.27,132600.0,300.0,133700.0,825.68
7,-379.4048250000924,370.3596800025553,175.15,2300.0,0.2,0.7,176400.0,800.0,179500.0,2388.8
7,-383.4148250001017,362.0896800030023,151.9,2300.0,0.11,0.8,148300.0,700.0000000000001,151300.0,2383.7
7,-386.5848250000272,355.6796800028533,134.16,2800.0000000000005,0.19,0.9,153600.0,900.0,157300.0,2904.1000000000004
7,-396.2248250000412,337.18968000262976,83.51,5600.000000000001,0.31,1.46,208000.0,1800.0,215400.0,5769.140000000001
7,-400.7648250000784,328.7496800031513,60.42,1800.0,0.12,0.6,158700.0,600.0,161100.0,1868.4
7,-405.4048250000924,320.1796800028533,37.4,3300.0,0.16,0.95,190900.0,1200.0,195400.0,3403.8
7,-409.064825000125,313.5096800029278,19.63,2300.0,0.11,0.58,272500.0,800.0,275600.0,2365.22
7,-410.8248250001343,310.4096800033003,11.51,10400.0,0.39,2.4,391600.0,3300.0,405300.0,10660.1
7,-412.4048250000924,307.6496800035238,4.27,3300.0,0.13,0.79,278000.0,1100.0,282400.0,3385.86
7,-424.2248250000412,287.1796800028533,-48.94,6500.0,0.23,1.49,349900.0,2100.0,358500.0,6659.66
7,-425.6448250000831,284.77968000248075,-55.11,10000.0,0.39,2.24,378700.0,3400.0000000000005,392100.0,10246.66
7,-428.7648250000784,279.5896800030023,-68.34,4700.0,0.18,1.28,274400.0,1600.0,280700.0,4834.52
7,-434.284825000097,270.51968000270426,-90.97,2900.0,0.1,0.79,195700.0,1000.0,199600.0,2981.36
